,Name,Value,Package,Quantity,Description,Link
Capacitors,"C5,C7,",22pF,"""0603""",2,,https://www.digikey.com/en/products/detail/vishay-vitramon/VJ0603A220KLCAJ32/13230554
,"C2,C3",560pF,"""0603""",2,,https://www.digikey.com/en/products/detail/vishay-vitramon/VJ0603Y561MLCAJ32/13231301
,"C1,C6,C8",0.1uF,"""0603""",3,,https://www.digikey.com/en/products/detail/frontier-electronics/0603G500X104KCT/13181967
,C4,4.7uF,"""0603""",1,,OUT OF STOCK ON DIGIKEY
,"C12,C13",10uF,"""0603""",2,,https://www.digikey.com/en/products/detail/murata-electronics/GCM188D70J106ME36D/13401877
,,,,,,
Resistors,"R10,R12",100Ω,"""0603""",2,,
,"R1,R2,R3,",1kΩ,"""0603""",3,,
,R13,4.7kΩ,"""0603""",1,,
,"R4,R5",10k,"""0603""",2,,
,,,,,,
Diodes,D1,MBRA140,SMA-DIODE,1,,https://www.digikey.com/en/products/detail/on-semiconductor/MBRA140T3G/918604
,D5,PESD1CAN,SOT23-3,1,CAN bus ESD protection diode,https://www.digikey.com/en/products/detail/nexperia-usa-inc/PESD2CAN215/1589994
,"D2,D3,D6,POWERLED",LED,"""0603""",4,,
,,,,,,
Fuse,F1,Resettable Fuse PTC,PTCTHERMISTOR1206,,,https://www.digikey.com/en/products/detail/littelfuse-inc/NANOSMD380LR-2/7321625
Crystal,Q1,16MHz,CRYSTAL-SMD-5X3,,,https://www.digikey.com/en/products/detail/cts-frequency-controls/405C35B16M00000/604540
,,,,,,
Connectors,,,,,,
,3.3_EN,1x02,Single Inline Male header,1,,https://www.digikey.com/en/products/detail/oupiin/2011H-1X40HB/13251575
,"J3, UART",1x03,Single Inline Male header,2,,https://www.digikey.com/en/products/detail/oupiin/2011H-1X40HB/13251575
,JP5,1x04,Single Inline Male header,1,,https://www.digikey.com/en/products/detail/oupiin/2011H-1X40HB/13251575
,J1,2x20,Single Inline Female socket,1,,https://www.digikey.com/en/products/detail/adafruit-industries-llc/2222/6238005
,X1,DB9 PLUG 90Degree PCB,DB9MALE,,,https://www.digikey.ch/product-detail/en/norcomp-inc/182-009-113R531/182-09ME-ND/858345
,,,,,,
Buttons,"CAN)RST, ESP_BOOT, ESP_RST",SWITCH-MOMENTARY-2SMD,SWITCH-MOMENTARY-2SMD,,,https://www.digikey.com/en/products/detail/c-k/PTS526-SM15-SMTR2-LFS/10056625
,,,,,,
Active Components,74HC4050,HEX_CONVERTER,SO016,1,,https://www.digikey.com/en/products/detail/texas-instruments/CD74HC4050NSR/1507153
,ESP32WROVER-B,ESP32,,1,,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-WROVER-B-4MB/9682051
,POLULU_D24V10F5,5v1A,,1,,https://www.pololu.com/product/2831
,LM1117SOT223,3.3v,SOT223,1,,https://www.digikey.com/en/products/detail/texas-instruments/LM1117MPX-3-3-NOPB/366733
,MCP2515,,SO18w,1,,https://www.digikey.com/en/products/detail/microchip-technology/MCP2515-I-SO/593001
,MCP2551,,SO08,1,,https://www.digikey.com/en/products/detail/microchip-technology/MCP2551-I-SN/509452